Question,Answer,Age,Sex
"10. If you had to wear protective clothing to help you, what would it be?","A mask! said with so much enthusiasm “Doc McStuffins, Moana and unicorn!”",3,f
11. Are you enjoying the lockdown?,Yes because I’m so excited about my family!”,3,f
12. What is the best thing about having to stay home?," ""To go home with your family""",3,f
1. What is the Coronavirus?,“The whole town has germs in it and people are getting sick so we need to give them some medicine. So that’s what the coronavirus is.”,3,f
2. Who is the president?,“Mommy”,3,f
3. How many days have we been in lockdown?,NA,3,f
4. Do you want to go back to school?,"“Uh, no”",3,f
5. Who is the first person you are going to hug when lockdown is over?,“Grandma”,3,f
6. Where is the first place you want to go?,“Bay & Bee” Bay & Bee,3,f
7. What do you think we can do to get rid of the Coronavirus?,"“Get it away and scrub. Oh, and wash your hands”",3,f
8. Is your mom a good teacher?,“Yes”,3,f
9. How did the Coronavirus start?,“I don’t know. Nobody knows”,3,f
"10. If you had to wear protective clothing to help you, what would it be?",“A unicorn shirt  and a rainbow shirt ”,3,f
11. Are you enjoying the lockdown?,Yes!,3,f
12. What is your favorite thing we do at home?,“Playing with Mommy”,3,f
1. What is the Coronavirus?,"Oh, that's a hard one. The things that look like the moon, but that are red, that's what coronavirus is... oh and they have those little arrows on them.",3,f
2. Who is the president?,"Huh, hmmm... I don't know... *flopped around on the couch for a few minutes*, ""I think maybe Nonnie",3,f
3. How many days have we been in lockdown?,"Maybe 1? Or 131 or something? That's a lot of days, I think that's how many we've been. I love that number, it's my favorite number.",3,f
4. Do you want to go back to school?,"(I asked about library class) ""Mmmmhmmmm""",3,f
5. Who is the first person you are going to hug when lockdown is over?,"Nonnie and Gigi, I want to hug them when they come visit me or I can go see them! I just wanna hug because they would love that so much",3,f
6. Where is the first place you want to go when the lockdown is over?,"The library, I love the library.",3,f
7. What do you think we can do to make the coronavirus go away?,I got it! Just use some fans. I love fans.,3,f
8. Is Mama a good teacher?,"Hmmm, yeah.",3,f
9. How did the Coronavirus start?,By closing down everything.,3,f
"10. If you had to wear protective clothing to help you, what would it be?","Ohhh, a rain hat, like a beach hat, a rain coat and jacket, that's what I'd need.",3,f
11. Are you enjoying the lockdown?,"No. Hmmm maybe actually yeah, because it feels fun.",3,f
12. What is the best thing about having to stay home?,"""Playing outside.""",3,f
3. How many days have we been in,lockdown?,3,f
11. Are you enjoying the lockdown? Yes!,Yes!,3,f
1. What is the Coronavirus?,Sick people,3,f
2. Who is the president?,Siri,3,f
3. How many days have we been in lockdown?,Stuck in the house for years,3,f
4. Do you want to go back to school?,Yes and play with my friends,3,f
5. Who is the first person you are going to hug when lockdown is over?,Myself,3,f
6. Where is the first place you want to go?,Every place we go,3,f
7. What do you think we can do to get rid of the Coronavirus?,Kidnap your front teeth,3,f
8. Is mom a good teacher?,Yup,3,f
9. How did the Coronavirus start?,No idea,3,f
10. If you had to wear protective clothing to help you what would it be?,Pretty dresses,3,f
1. What is the Coronavirus,Momma,3,m
2. Who is the president,Me and Sawyer,3,m
3. How many days have we been in lockdown,I don't know,3,m
4. Do you want to go back to school,Yes,3,m
5. Who is the first person you are going to hug when lockdown is over,Me,3,m
6. Where is the first place you want to go,McDonald's,3,m
7. What do you think we can do to get rid of the Coronavirus,I don't know,3,m
8. Is mom a good teacher,Yeah,3,m
9. How did the Coronavirus start,I'm going to turn the light on,3,m
10. If you had to wear protective clothing to help what would it be,A sweater,3,m
11. Are you enjoying the lockdown,Mhhmm hmmmm,3,m
12. Are you scared of the Coronavirus,Yeah,3,m
13. Do you think you could get the Corona virus,What I don't  have it,3,m
1. What is the Coronavirus?,Where the worlds sick,3,m
2. Who is the president?,Sissy!!,3,m
3. How many days have we been in lockdown?,100!!,3,m
4. Do you want to go back to school?,Nooooo,3,m
5. Who is the first person you are going to hug when lockdown is over?,Mmm.. mommy!,3,m
6. Where is the first place you want go?,Umm.. PEPPA PIG WORLD,3,m
7. What do you think we can do to get rid of the Covid-19?,UMM.. a lion robot!,3,m
8. Is your mom a good teacher?,Yes!,3,m
9. How did the Coronavirus start?,They ate some food!,3,m
10. If you had to wear protective clothing to help you what would it be?,Umm a mask!!,3,m
11. Are you enjoying the lockdown?,Yeah! Yes!,3,m
12. Are you scared of the Coronavirus?,Yes!,3,m
13. Do you think you could get the Corona virus?,Noooo!,3,m
14. What's your favorite part of staying home?,Umm.. WATCHING TRANSFORMERS,3,m
1. What is the Corona virus?,H - It's silly,3,f
2. Who is the prime minister?,H - Don't know.,3,f
3. How many days have we been in lockdown?,H - Five-ty hundred.,3,f
4. What is mummy wearing today? It was 8am in fairness,H - Pyjamas,3,f
5. Do you want to go back to school?,H - Yes,3,f
6. Who is the first person you are going to hug when lockdown ends?,"H - Nanny, great nanny, auntie den and kathryn.",3,f
Sorry they couldn't decide.,NA,3,f
7. Where is the first place you want to go?,H -nannys house,3,f
8. What do you think we can do to get rid of the Corona virus?,H - Don't know,3,f
9. Is mummy a good teacher?,H - Yes.,3,f
10. If the Corona virus was an animal what animal would it be?,H - Ostrich,3,f
11. How did the Corona Virus start?,H - Don't know.,3,f
"12. If you had to wear protective clothing to help you, what would it be?",H - A mask. I don't know what else,3,f
1. What is the Coronavirus,"""Oh, that's a hard one. The things that look like the moon, but that are red, that's what coronavirus is... oh and they have those little arrows on them.""",3,f
2. Who is the president,"""Huh, hmmm... I don't know..."" *flopped around on the couch for a few minutes*, ""I think maybe Nonnie",3,f
3. How many days have we been in lockdown,"""Maybe 1? Or 131 or something? That's a lot of days, I think that's how many we've been. I love that number, it's my favorite number.""",3,f
5. Who is the first person you are going to hug when lockdown is over,"""Nonnie and Gigi, I want to hug them when they come visit me or I can go see them! I just wanna hug because they would love that so much""",3,f
6. Where is the first place you want to go when the lockdown is over,"""The library, I love the library.""",3,f
7. What do you think we can do to make the coronavirus go away,"""I got it! Just use some fans. I love fans.""",3,f
8. Is Mama a good teacher,"""Hmmm, yeah.""",3,f
9. How did the Coronavirus start,"""By closing down everything.""",3,f
"10. If you had to wear protective clothing to help you, what would it be","""Ohhh, a rain hat, like a beach hat, a rain coat and jacket, that's what I'd need.""",3,f
11. Are you enjoying the lockdown,"""No. Hmmm maybe actually yeah, because it feels fun.""",3,f
12. What is the best thing about having to stay home,"""Playing outside.""",3,f
1. What is the Corona virus?,Something with blackberries,3,f
2. Who is the President?,Watch the nation,3,f
3. How many days have we been in lockdown?,I don't know,3,f
4. What is mommy wearing today?,A shirt,3,f
5. Do you want to go to school?,Yeah cause i want to,3,f
6. Who is the first person you are going to hug when lockdown ends?,Lettie,3,f
7. Where is the first place you want to go?,The Aquarium,3,f
8. What do you think we can do to get rid of the Corona virus?,Blackberries,3,f
9. Is mommy a good teacher?,Yeah,3,f
10. If corona virus was an animal what animal would it be?,Tiger,3,f
11. How did the corona virus start?,Something blackberries,3,f
"12. If you had to wear protective clothing to help you, what would it be?",Blue,3,f
1- What is the Coronavirus?,Sick,3,f
2- Who is the prime minister?,Boris Johnson,3,f
3- How many days have we been in lockdown,(Counts her fingers) 8,3,f
4- What is Mummy wearing today?,"Star pyjamas (I was dressed earlier, honest)",3,f
5- Do you want to go back to school?,Yes,3,f
6 - Who is the first person you are going to see when lockdown finishes?,Seb  Catherine Grimley,3,f
7- Where is the first place you want to go?,I want to go to see Sausage  (Pig at the adventure farm),3,f
8- What do you think we can do to get rid of the Coronavirus?,Help everybody,3,f
9 - Is mummy a good teacher?,"Yes, No",3,f
10- If coronavirus was an animal what animal would it be?,Pigeon  because they are pests,3,f
11- How did the Coronavirus start?,When it was Coronavirus,3,f
12- If you had to wear protective clothing to help you what would it be?,My dress,3,f
1. What is the Corona virus?,Nothing,3,m
2. Who is the prime minister,Me?,3,m
3. How many days have we been in lockdown?,5 days,3,m
4. What is mummy wearing today?,clothes,3,m
5. Do you want to go back to nursery/school?,"No, i want to stay here",3,m
6. Who is the first person you are going to hug when lockdown ends?,Max,3,m
7. Where is the first place you want to go?,Roundyroundy slide,3,m
8. What do you think we can do to get rid of the Corona virus?,To Roar it away,3,m
9. Is mummy a good teacher?,"No mommybis not a good teacher, she is a nice mommy",3,m
10. If corona virus was an animal what animal would it be?,A lion,3,m
11. How did the corona virus start,Today,3,m
12.If you had to wear protective clothing to help you what would you wear?,The warm ski top,3,m
13. Who has missed you the most during Lockdown,Ouma lize and Hopie,3,m
14. What have you enjoyed most about lockdown?,Tv,3,m
15. What have you learnt during lockdown?,Nothing,3,m
1. What is the coronavirus,"Uh, germs!",3,m
2. Who is the president,"Uh, me",3,m
3. How many days have we been in quarantine,Three times. *holds up four fingers*,3,m
4. Do you want to go back to school,Uh huh! *nods emphatically*,3,m
5. Who is the first person you are going to hug when quarantine is over,I don't know. You,3,m
6. Where is the first place you want to go,"I want to go to my house. This is my house, I wanna go here. I love it.",3,m
7. What do you think we can do to get rid of the coronavirus, Wash our hands,3,m
8. Are mommy and daddy good teachers, Yes...yes.,3,m
9. How did the coronavirus get  started, Round and round and round....,3,m
"10. If you had to wear protective clothing to help you, what would it be",  Lemonade. It helps germs go away and wash our hands and go potty.,3,m
11. Are you enjoying quarantine," Uh huh, yes.",3,m
1. What is the coronavirus?,Where you can’t go inside and you can’t talk to people and we can’t say hi to people and we can’t hug them,3,f
2. Who is the president?,You,3,f
3. How many days have we been in lockdown?,7 days,3,f
4. Do you want to go back to school/daycare?,"Yes, And I want to stay there forever and sleep with my teachers",3,f
5. Who is the first person you are going to hug when lockdown is over?,Ummmm Rylan and Saylor,3,f
6. Where is the first place you want to go?,Rylans,3,f
7. What do you think we can do to get rid of the Coronavirus?,We can hug them,3,f
8. Are mommy and daddy good teachers?,No way,3,f
9. How did the Coronavirus start?,Uhm when people were sick and I was sick and I woke up and I throwed up. It’ll be gone if we stay home forever,3,f
10. If you had to wear protective clothing to help you what would it be?,Hmmmm A fire truck suit to help people who’s dead and hurt,3,f
11. Are you enjoying the lockdown?,Yeah,3,f
12. What is the best thing about having to stay home?,You,3,f
1. What is the Coronavirus?,"I can’t kiss or hug Auntie, Stanley, Gracie, My Nanny, Grandad or anyone",3,f
2. Who is the prime minister?,Daddy,3,f
3. How many days have we been in lockdown?,Lots,3,f
4. What is mummy wearing today ?,Dress & a t-shirt,3,f
5. Do you want to go back to school?,Yes,3,f
6. Who is the first person you are going to see when lockdown finishes?,Everyone & Karis,3,f
7. Where is the first place you want to go?,Everywhere,3,f
8. What do you think we can do to get rid of the Coronavirus?,Shoo it away with my lip-balm,3,f
9. Is mummy a good teacher?,Yes,3,f
10. If coronavirus was an animal what animal would it be?,Dog,3,f
11. How did the Coronavirus start?,Last Wednesday,3,f
12.If you had to wear protective clothing to help you what would it be?,Gloves & something,3,f
1. What is the Coronavirus?,What is it? What is it mom?,3,m
2. Who is the president?,What’s a pesident...,3,m
3. How many days have we been in lockdown?,*Whispers* Get out.,3,m
4. Do you want to go back to school?,(I asked to the store),3,m
5. Who is the first person you are going to hug when lockdown is over?,What we gonna hug? Sissy?,3,m
6. Where is the first place you want to go?,I wanna go at the store. Anudda (another) store too.,3,m
7. What do you think we can do to get rid of the Coronavirus?,What?,3,m
8. Am I a good teacher?,Uh yeah.,3,m
9. How did the Coronavirus start?,Sissy get your toes away!,3,m
10. If you had to wear protective clothing to help you what would it be?,What is it?,3,m
11. Are you enjoying the lockdown?,"No, but I do love going home. I want to even see my friends.",3,m
12. What is the best thing about having to stay home?,"I don’t know, bees?",3,m
11. Are you enjoying the lockdown? ,"No. Hmmm maybe actually yeah, because it feels fun.",3,f
12. What is the best thing about having to stay home?,Playing outside.,3,f
1. What is the Coronavirus?,Sicky germs,3,f
2. Who is the president?,Donald Duck (so close lol),3,f
3. How many days have we been in lockdown?,6,3,f
4. Do you want to go back to school?,Yes,3,f
5. Who is the first person you are going to hug when lockdown is over?,Aunt Ronda,3,f
6. Where is the first place you want to go?,School,3,f
7. What do you think we can do to get rid of the Coronavirus?,Sing a song,3,f
8. Are mommy and daddy good teachers?,No,3,f
9. How did the Coronavirus start?,Bad guys,3,f
10. If you had to wear protective clothing to help you what would it be?,A dress,3,f
11. Are you enjoying the lockdown?,Yes,3,f
12. What is the best thing about having to stay home?,It’s sad,3,f
1. What is the Coronavirus?,It spreads germs,3.5,m
2. Who is the President?,Donald Trump,3.5,m
3. How many days have we been in lockdown?,About 14 days,3.5,m
4. Do you want to go to school?,Yeah,3.5,m
5. Who is the first person you are going to hug when lockdown is over?,Brendan Allison Kirby!,3.5,m
6. Where is the first place you want to go?,The saucer park,3.5,m
7. What do you think we can do to get rid of the Coronavirus?,Wash our hands,3.5,m
8. Is Mom a good teacher?,Yeah,3.5,m
9. How did the coronavirus start?,"In China, in Wuhan",3.5,m
10. Are you enjoying lockdown?,"No, I just like going to the Coast Guard park",3.5,m
1. What is Coronavirus?,Everyone sick.,3.5,f
2. Who is the president?,the guy that talks.,3.5,f
3. How many days have we been in lockdown,5 days.,3.5,f
4. Do you want to go back to school? (I asked her if she wishes she could have people over since she doesn’t go to school),yes I wish.,3.5,f
5. Who is the first person you are going to hug when lockdown is over?,Grandma. Sandy Lupis Penney,3.5,f
6. Where is the first place you want to go?,Playground.,3.5,f
7. What do you think we can do to get rid of the Coronavirus?,Medicine.,3.5,f
8. Is mom a good teacher?,Yeah.,3.5,f
9. How did the Coronavirus start?,Everyone sick. Started outside.,3.5,f
10. If you had to wear protective clothing to help you what would it be?,A mask.,3.5,f
11. Are you enjoying the lockdown?,Yeah!,3.5,f
12. Are you scared of the Coronavirus?,No.,3.5,f
13. Do you think you could get the Corona virus?,No. Actually in Louisiana I throw up in my bed.,3.5,f
1. What is the Coronavirus?,NA,3.5,m
2. Who is the President?,The King,3.5,m
3. How many days have we been in lockdown?,1 day,3.5,m
4. Do you want to go back school?,"No, I don’t want to. I want school with Daddy.",3.5,m
5. Who is the first person you are going to hug when lockdown is over?,Daddy,3.5,m
6. Where is the first place you want to go?,To McDonalds,3.5,m
7. What do you think we can do to get rid of the coronavirus?,"I don’t know how, if we fight it",3.5,m
8. Are mommy and daddy good teachers?,Only Daddy,3.5,m
9. How did the Coronavirus start?,I don’t know,3.5,m
10. If you had to wear protective clothing to help you what would it be?,A mask,3.5,m
11. Are you enjoying lockdown?,Yea,3.5,m
1. What is the Coronavirus?,Uhm... everywhere on this earth,3.5,f
2. Who is the president?,Donald Trunk!,3.5,f
3. How many days have we been in lockdown?,uhm.. 60!,3.5,f
4. Do you want to go back to school?,"YES!! So much, I’m gonna flood this whole house with my tears!",3.5,f
5. Who is the first person you are going to hug when the virus is over?,Everyone!,3.5,f
6. Where is the first place you want to go?,School... a cafe,3.5,f
7. What do you think we can do to get rid of the coronavirus?,"Uhm, use lots of water and, uhm, call everyone’s mom to tell them they should wash they hands and also they mom!",3.5,f
8. Is mommy a good teacher?,Yes! And so is daddy!,3.5,f
9. How did the Coronavirus start?,Because someone didn’t wash they hands.,3.5,f
10. If you had to wear protective clothing to help you what would it be?,10 shirts and ... (babbling on and on),3.5,f
11. Are you enjoying lockdown?,No! I hate lockdown! I never get to go anywhere!,3.5,f
12. What’s the best thing you liked during the lockdown?,"Piper’s naps, puzzles, playin tag, playin hide and seek, playin freeze tag.",3.5,f
1. What is the Coronavirus?,- sick germs,4,f
2. Who is the president?,- The big guy.,4,f
3. How many days have we been in lockdown?,- 12,4,f
4. Do you want to go back to school?,-yes,4,f
5. Who is the first person you are going to hug when lockdown is over?,- My boyfriend Jakob (Heather N. O'Daniel),4,f
6. Where is the first place you want to go?,-Fun City,4,f
7. What do you think we can do to get rid of the Coronavirus?,- stay home and rest,4,f
8. Are mommy and daddy good teachers?,- yes,4,f
9. How did the Coronavirus start?,-all by itself,4,f
10. If you had to wear protective clothing to help you what would it be?,- Mask,4,f
11. Are you enjoying the lockdown?,- Yeah,4,f
12. What is the best thing about having to stay home?,-playing outside,4,f
Answered by: Carter. Age 4,NA,4,m
1. What is the Corona virus ?,Corona virus is new medicine because of germs,4,m
2. Who is the president ?,My doctor,4,m
3. How many days have we been lockdown?,20,4,m
4. Do you want to go back to school/nursery?,"Ugh, yes. Because I love it when I go to school.",4,m
5. Who is the first person you are going to hug when lockdown is over?,Mimi,4,m
6. Where is the first place you want to go?,Great Wolf Lodge,4,m
7. What do you think we can do to get rid of the Corona virus?,Wash our hands,4,m
8. Is mommy a good teacher?,Uh huh....she is.,4,m
9. How did the Corona Virus start?,Don't know (shrugs his shoulders),4,m
"10. If you had to wear protective clothing to help you, what would it be?",A mask,4,m
11. Are you enjoying being on lockdown?,Yes! Because it's so much fun!,4,m
1. What is the Coronavirus?,“It’s sick. I think it’s going slow now.”,4,m
2. Who is the president of the United States?,”Jesus.”,4,m
3. How many days have we been in lockdown?,”Four days.”,4,m
4. Do you want school to start back up?,”Yes.”,4,m
5. Who is the first person you are going to hug when lockdown is over?,"”I think all the park people, I think the park people would like a hug.”",4,m
6. Where is the first place you want to go?,”I..... ughhh... I don’t know but my eye keeps hurting.”,4,m
7. What do you think we can do to get rid of the Coronavirus?,"“I don’t know, but we are superheroes.”",4,m
8. Is mommy a good teacher?,”Umm hmm.”,4,m
9. How did the Coronavirus start?,"”Well first I had a virus, but I don’t know what it would be like today. But I know I once had a virus.”",4,m
10. If you had to wear protective clothing to help you what would it be?,”I think it would be a veterinarian thing that gets bees.”,4,m
11. Are you enjoying lockdown?,“No.”,4,m
12: What are you enjoying most about being at home?,“The toys.”,4,m
1. What is the Coronavirus?,About getting sick,4,f
2. Who is the president?,Mia,4,f
3. How many days have we been in lockdown?,20,4,f
4. Do you want to go back to school?,Yeah,4,f
5. Who is the first person you are going to hug when lockdown is over?,Harper,4,f
6. Where is the first place you want to go?,The beach/summer,4,f
7. What do you think we can do to get rid of the Coronavirus?,Drink water,4,f
8. Is mom a good teacher?,Yeah,4,f
9. How did the Coronavirus start?,From the bat soup,4,f
"10. If you had to wear protective clothing to help you, what would it be?",Owlette,4,f
11. Are you enjoying the lockdown?,No,4,f
12. What is your favorite thing we do at home?,Play Barbie and have a party,4,f
1. What is the Coronavirus, Making everyone sick,4,f
2. Who is the president, No,4,f
3. How many days have we been in lockdown,   Long time ago,4,f
4. Do you want to go back school, No,4,f
5. Who is the first person you are going to hug when lockdown is over, Caroline,4,f
6. Where is the first place you want to go, Play place,4,f
7. What do you think we can do to get rid of the coronavirus,  I don’t know... wear a bib,4,f
8. Is mommy a good teacher, Yes,4,f
9. How did the Coronavirus start, Because people have allergies,4,f
10. If you had to wear protective clothing to help you what would it be,  Mask,4,f
11. Are you enjoying lockdown, Yes,4,f
12. Whats your favorite part of lockdown,painting,4,f
1. What is the Coronavirus, People getting sick,4,f
2. Who is the president, What,4,f
3. How many days have we been in lockdown,5,4,f
4. Do you want to go back school, Yes,4,f
5. Who is the first person you are going to hug when lockdown is over, Marie,4,f
7. What do you think we can do to get rid of the coronavirus,  Wash it away,4,f
9. How did the Coronavirus start, People are getting sick because of the virus,4,f
10. If you had to wear protective clothing to help you what would it be,  mask.,4,f
12. Whats your favorite part of lockdown, Painting nails,4,f
1. What is coronavirus?,It makes you sick.,4,f
2. Who is the president?,I actually don’t know.,4,f
3. How many days have we been in lockdown?,In 10 minutes,4,f
4. Do you want to go back to school?,I don’t go to school.,4,f
5. Who is the first person you are going to hug when lockdown is over?,You (mamaw),4,f
6. Where is the first place you want to go?,"To the swimming pool, and the store, and the playground and then that’s all.",4,f
7. What do you think we can do to get rid of the Coronavirus?,Clean the floor and clean everything,4,f
8. Is mommy a good teacher? Yes,NA,4,f
9. How did the Coronavirus start?,I don’t know,4,f
10. If you had to wear protective clothing to help you what would it be?,A mask,4,f
11. Are you enjoying lockdown?,"No, I want to go places.",4,f
1. What is the Coronavirus?,JJ- The Germs,4,m
2. Who is the president?,"JJ- you, mommy",4,m
3. How many days have we been in quarantine?,JJ- 60 Hours,4,m
4. Do you want to go back to school/daycare?,JJ- No,4,m
5. Who is the first person you are going to hug when social distancing is over?,JJ- mommy,4,m
6. Where is the first place you want to go?,JJ- Jurassic Park,4,m
7. What do you think we can do to get rid of the Coronavirus?,JJ- spray everyone with germ spray,4,m
8. Is mommy a good teacher?,JJ- yes,4,m
9. How did the Coronavirus start?,JJ-it came from California,4,m
10. Are you enjoying the lockdown?,JJ- I like being home all day,4,m
1. What is the Coronavirus?,The virus’s,4,m
2. Who is the president?,I don’t know,4,m
3. How many days have we been in lockdown?,6 or 20 days,4,m
4. Do you want to go back to school/daycare?,No!,4,m
5. Who is the first person you are going to hug when the virus is over?,Max,4,m
6. Where is the first place you want to go?,Reese’s house,4,m
7. What do you think we can do to get rid of the Coronavirus?,Stay home,4,m
8. Is mama a good teacher?,Yeeeeaaah,4,m
9. How did the Coronavirus start?,I’m don’t know,4,m
10. If you had to wear protective clothing to help you what would it be?,Jammies,4,m
11. Are you enjoying the lockdown?,yeah... because I like home,4,m
1. What is the Corona virus?,It’s big big germs mama,4,f
2. Who is the prime minister?,Mama,4,f
3. How many days have we been in lockdown?,40 million,4,f
