Subject_ID,Question,Answer,Age,Sex
s104,5. Who is the first person you are going to hug when lockdown is over?,I don’t want a hug,2,m
s104,6. Where is the first place you want to go after lockdown?,Um go um to Tacoma to see cheetahs,2,m
s104,7. What do you think we can do to get rid of the Coronavirus?,Um we use bandaids,2,m
s104,8. Is mommy/daddy a good teacher?,Um no,2,m
s104,9. How did the Coronavirus start?,With the eyes,2,m
s104,10. Are you enjoying lockdown?,Um no,2,m
s105,1. What is the Coronavirus?,Silence. Blank stare.,2.5,m
s105,2. Who is the prime minister?,Ummmm “pime miss” gone home again.,2.5,m
s105,3. How many days have we been in lockdown?,LOOK! **Points to ginormous pigeon in the garden**. (I ask again). 2.,2.5,m
s105,4. What is mommy wearing today?,Mummy wear T-shirt (correct!!),2.5,m
s105,5. Do you want to go back to nursery?,No no. No thank you. Umm *thinks* yes please mummy. NO MUMMY NO!!!!!!!,2.5,m
s105,6. Who is the first person you are going to see when lockdown ends?,Corny go see Nanny.,2.5,m
s105,7. Where is the first place you want to go?,Go nursery. Go nursery x382. ——> NO MUMMY NO NURSERY!!!!,2.5,m
s105,8. What do you think we can do to get rid of the Coronavirus?,Jump like this!! *does outrageously fake laugh*,2.5,m
s105,9. Is mummy a good teacher?,Yes. **I ask him what things I teach him?) Mummy teach**... dancing! (Again correct!! ),2.5,m
s105,10. If coronavirus was an animal what animal would it be?,Lion.... LION!,2.5,m
s105,11. How did the Coronavirus start?,Ummm. Start here.,2.5,m
s105,12.If you had to wear protective clothing to help you what would it be?,Corny wear this one. *Points to his white chino shorts.*,2.5,m
s106,1. What is the Coronavirus," ""Oh, that's a hard one. The things that look like the moon, but that are red, that's what coronavirus is... oh and they have those little arrows on them.""",3,f
s106,2. Who is the president," ""Huh, hmmm... I don't know..."" *flopped around on the couch for a few minutes*, ""I think maybe Nonnie",3,f
s106,3. How many days have we been in lockdown," ""Maybe 1",3,f
s106,4. Do you want to go back to school,"""Mmmmhmmmm""",3,f
s106,5. Who is the first person you are going to hug when lockdown is over,"  ""Nonnie and Gigi, I want to hug them when they come visit me or I can go see them! I just wanna hug because they would love that so much""",3,f
s106,6. Where is the first place you want to go when the lockdown is over," ""The library, I love the library.""",3,f
s106,7. What do you think we can do to make the coronavirus go away," ""I got it! Just use some fans. I love fans.""",3,f
s106,8. Is Mama a good teacher," ""Hmmm, yeah.""",3,f
s106,9. How did the Coronavirus start," ""By closing down everything.""",3,f
s106,"10. If you had to wear protective clothing to help you, what would it be"," ""Ohhh, a rain hat, like a beach hat, a rain coat and jacket, that's what I'd need.""",3,f
s106,11. Are you enjoying the lockdown,"  ""No. Hmmm maybe actually yeah, because it feels fun.""",3,f
s106,12. What is the best thing about having to stay home,"  ""Playing outside.""",3,f
s107,1. What is the coronavirus, “It’s a little tiger with Simba and Scar.”,3,m
s107,2. Who is the president, “What What are you talking about Presents,3,m
s107,3. How many days have we been in lockdown," 1, 2, 3, 4, 5, 6, 7......proceeds until he counts to 15 then “seben-teen”",3,m
s107,4. Do you want to go back to school," “Um, no I don’t.”",3,m
s107,5. Who is the first person you are going to hug when lockdown is over, “Evie” (daycare girlfriend I guess,3,m
s107,6. Where is the first place you want to go,“Church”,3,m
s107,7. What do you think we can do to get rid of the Coronavirus, “I know! Elsa can come and use her magic!”,3,m
s107,8. Is mommy a good teacher,"“No, you’re not!”",3,m
s107,9. How did the virus start, “I don’t know.”,3,m
s107,10. If you had to wear protective clothing to help you what would it be, “I don’t know! Don’t talk about the germs!”,3,m
s107,11. Are you enjoying lockdown," “No, I don’t! I’m mad!”",3,m
s108,1. What is the Coronavirus?,Tynli- the coronavirus. It’s a virus and it makes you sick .,3,f
s108,2. Who is the president of the United States?,Tynli- Jesus,3,f
s108,3. How many days have we been in lockdown?,Tynli- 20 hours?,3,f
s108,4. Do you want school to start back up?,Tynli- yes! I love Sunday School,3,f
s108,5. Who is the first person you are going to hug when lockdown is over?,We aren’t really in Lockdown so,3,f
s108,6. Where is the first place you want to go?,Tynli- a toy store?,3,f
s108,7. What do you think we can do to get rid of the Coronavirus?,- Tynli- just pray. Jesus will take it away.,3,f
s108,8. Is mommy a good teacher?,Tynli- of course,3,f
s108,9. How did the Coronavirus start?,-Tynli- I don’t know? Can you tell me? Why are we answering these questions,3,f
s108,10. If you had to wear protective clothing to help you what would it be?,-Tynli- a princess outfit,3,f
s108,11. Are you enjoying lockdown?,- we aren’t on lock down,3,f
s108,12: What are you enjoying most about being at home?,- Tynli- playing with Bubba every day,3,f
s109,1. What is the Coronavirus?,Huh? What did you say?” Repeated. “I don’t know. What is it?,3,f
s109,2. Who is the president?,Mommy. Mommy is the baby pirate,3,f
s109,3. How many days have we been in lockdown?,45 (45 and 5 are her favorite numbers ),3,f
s109,4. Do you want to go back to school?,"“Now?” “Not now, later”",3,f
s109,5. Who is the first person you are going to hug when lockdown is over?,My friends that live at school.,3,f
s109,6. Where is the first place you want to go when the lockdown is over?,To the store to get me some M&Ms and to my school.,3,f
s109,7. What do you think we can do to make the coronavirus go away?,"”with a washing machine""",3,f
s109,8. Is Mama a good teacher?,Yes but I’m the teacher,3,f
s109,9. How did the Coronavirus start?,The people,3,f
s109,"10. If you had to wear protective clothing to help you, what would it be?","A mask! said with so much enthusiasm “Doc McStuffins, Moana and unicorn!”",3,f
s109,11. Are you enjoying the lockdown?,Yes because I’m so excited about my family!”,3,f
s109,12. What is the best thing about having to stay home?," ""To go home with your family""",3,f
s110,1. What is the Coronavirus?,“The whole town has germs in it and people are getting sick so we need to give them some medicine. So that’s what the coronavirus is.”,3,f
s110,2. Who is the president?,“Mommy”,3,f
s110,3. How many days have we been in lockdown?,NA,3,f
s110,4. Do you want to go back to school?,"“Uh, no”",3,f
s110,5. Who is the first person you are going to hug when lockdown is over?,“Grandma”,3,f
s110,6. Where is the first place you want to go?,“Bay & Bee” Bay & Bee,3,f
s110,7. What do you think we can do to get rid of the Coronavirus?,"“Get it away and scrub. Oh, and wash your hands”",3,f
s110,8. Is your mom a good teacher?,“Yes”,3,f
s110,9. How did the Coronavirus start?,“I don’t know. Nobody knows”,3,f
s110,"10. If you had to wear protective clothing to help you, what would it be?",“A unicorn shirt  and a rainbow shirt ”,3,f
s110,11. Are you enjoying the lockdown?,Yes!,3,f
s110,12. What is your favorite thing we do at home?,“Playing with Mommy”,3,f
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
s112,11. Are you enjoying the lockdown?,Yes!,3,f
s113,1. What is the Coronavirus?,Sick people,3,f
s113,2. Who is the president?,Siri,3,f
s113,3. How many days have we been in lockdown?,Stuck in the house for years,3,f
s113,4. Do you want to go back to school?,Yes and play with my friends,3,f
s113,5. Who is the first person you are going to hug when lockdown is over?,Myself,3,f
s113,6. Where is the first place you want to go?,Every place we go,3,f
s113,7. What do you think we can do to get rid of the Coronavirus?,Kidnap your front teeth,3,f
s113,8. Is mom a good teacher?,Yup,3,f
s113,9. How did the Coronavirus start?,No idea,3,f
s113,10. If you had to wear protective clothing to help you what would it be?,Pretty dresses,3,f
s114,1. What is the Coronavirus,Momma,3,m
s114,2. Who is the president,Me and Sawyer,3,m
s114,3. How many days have we been in lockdown,I don't know,3,m
s114,4. Do you want to go back to school,Yes,3,m
s114,5. Who is the first person you are going to hug when lockdown is over,Me,3,m
s114,6. Where is the first place you want to go,McDonald's,3,m
s114,7. What do you think we can do to get rid of the Coronavirus,I don't know,3,m
s114,8. Is mom a good teacher,Yeah,3,m
s114,9. How did the Coronavirus start,I'm going to turn the light on,3,m
s114,10. If you had to wear protective clothing to help what would it be,A sweater,3,m
s114,11. Are you enjoying the lockdown,Mhhmm hmmmm,3,m
s114,12. Are you scared of the Coronavirus,Yeah,3,m
s114,13. Do you think you could get the Corona virus,What I don't  have it,3,m
s115,1. What is the Coronavirus?,Where the worlds sick,3,m
s115,2. Who is the president?,Sissy!!,3,m
s115,3. How many days have we been in lockdown?,100!!,3,m
s115,4. Do you want to go back to school?,Nooooo,3,m
s115,5. Who is the first person you are going to hug when lockdown is over?,Mmm.. mommy!,3,m
s115,6. Where is the first place you want go?,Umm.. PEPPA PIG WORLD,3,m
s115,7. What do you think we can do to get rid of the Covid-19?,UMM.. a lion robot!,3,m
s115,8. Is your mom a good teacher?,Yes!,3,m
s115,9. How did the Coronavirus start?,They ate some food!,3,m
s115,10. If you had to wear protective clothing to help you what would it be?,Umm a mask!!,3,m
s115,11. Are you enjoying the lockdown?,Yeah! Yes!,3,m
s115,12. Are you scared of the Coronavirus?,Yes!,3,m
s115,13. Do you think you could get the Corona virus?,Noooo!,3,m
s115,14. What's your favorite part of staying home?,Umm.. WATCHING TRANSFORMERS,3,m
s116,1. What is the Corona virus?,H - It's silly,3,f
s116,2. Who is the prime minister?,H - Don't know.,3,f
s116,3. How many days have we been in lockdown?,H - Five-ty hundred.,3,f
s116,4. What is mummy wearing today? It was 8am in fairness,H - Pyjamas,3,f
s116,5. Do you want to go back to school?,H - Yes,3,f
s116,6. Who is the first person you are going to hug when lockdown ends?,"H - Nanny, great nanny, auntie den and kathryn.",3,f
s116,Sorry they couldn't decide.,NA,3,f
s116,7. Where is the first place you want to go?,H -nannys house,3,f
s116,8. What do you think we can do to get rid of the Corona virus?,H - Don't know,3,f
s116,9. Is mummy a good teacher?,H - Yes.,3,f
s116,10. If the Corona virus was an animal what animal would it be?,H - Ostrich,3,f
s116,11. How did the Corona Virus start?,H - Don't know.,3,f
s116,"12. If you had to wear protective clothing to help you, what would it be?",H - A mask. I don't know what else,3,f
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
s118,1. What is the Corona virus?,Something with blackberries,3,f
s118,2. Who is the President?,Watch the nation,3,f
s118,3. How many days have we been in lockdown?,I don't know,3,f
s118,4. What is mommy wearing today?,A shirt,3,f
s118,5. Do you want to go to school?,Yeah cause i want to,3,f
s118,6. Who is the first person you are going to hug when lockdown ends?,Lettie,3,f
s118,7. Where is the first place you want to go?,The Aquarium,3,f
s118,8. What do you think we can do to get rid of the Corona virus?,Blackberries,3,f
s118,9. Is mommy a good teacher?,Yeah,3,f
s118,10. If corona virus was an animal what animal would it be?,Tiger,3,f
s118,11. How did the corona virus start?,Something blackberries,3,f
s118,"12. If you had to wear protective clothing to help you, what would it be?",Blue,3,f
s119,1- What is the Coronavirus?,Sick,3,f
s119,2- Who is the prime minister?,Boris Johnson,3,f
s119,3- How many days have we been in lockdown,(Counts her fingers) 8,3,f
s119,4- What is Mummy wearing today?,"Star pyjamas (I was dressed earlier, honest)",3,f
s119,5- Do you want to go back to school?,Yes,3,f
s119,6 - Who is the first person you are going to see when lockdown finishes?,Seb  Catherine Grimley,3,f
s119,7- Where is the first place you want to go?,I want to go to see Sausage  (Pig at the adventure farm),3,f
s119,8- What do you think we can do to get rid of the Coronavirus?,Help everybody,3,f
s119,9 - Is mummy a good teacher?,"Yes, No",3,f
s119,10- If coronavirus was an animal what animal would it be?,Pigeon  because they are pests,3,f
s119,11- How did the Coronavirus start?,When it was Coronavirus,3,f
s119,12- If you had to wear protective clothing to help you what would it be?,My dress,3,f
s120,1. What is the Corona virus?,Nothing,3,m
s120,2. Who is the prime minister,Me?,3,m
s120,3. How many days have we been in lockdown?,5 days,3,m
s120,4. What is mummy wearing today?,clothes,3,m
s120,5. Do you want to go back to nursery/school?,"No, i want to stay here",3,m
s120,6. Who is the first person you are going to hug when lockdown ends?,Max,3,m
s120,7. Where is the first place you want to go?,Roundyroundy slide,3,m
s120,8. What do you think we can do to get rid of the Corona virus?,To Roar it away,3,m
s120,9. Is mummy a good teacher?,"No mommybis not a good teacher, she is a nice mommy",3,m
s120,10. If corona virus was an animal what animal would it be?,A lion,3,m
s120,11. How did the corona virus start,Today,3,m
s120,12.If you had to wear protective clothing to help you what would you wear?,The warm ski top,3,m
s120,13. Who has missed you the most during Lockdown,Ouma lize and Hopie,3,m
s120,14. What have you enjoyed most about lockdown?,Tv,3,m
s120,15. What have you learnt during lockdown?,Nothing,3,m
s121,1. What is the coronavirus,"Uh, germs!",3,m
s121,2. Who is the president,"Uh, me",3,m
s121,3. How many days have we been in quarantine,Three times. *holds up four fingers*,3,m
s121,4. Do you want to go back to school,Uh huh! *nods emphatically*,3,m
s121,5. Who is the first person you are going to hug when quarantine is over,I don't know. You,3,m
s121,6. Where is the first place you want to go,"I want to go to my house. This is my house, I wanna go here. I love it.",3,m
s121,7. What do you think we can do to get rid of the coronavirus, Wash our hands,3,m
s121,8. Are mommy and daddy good teachers, Yes...yes.,3,m
s121,9. How did the coronavirus get  started, Round and round and round....,3,m
s121,"10. If you had to wear protective clothing to help you, what would it be",  Lemonade. It helps germs go away and wash our hands and go potty.,3,m
s121,11. Are you enjoying quarantine," Uh huh, yes.",3,m
s122,1. What is the coronavirus?,Where you can’t go inside and you can’t talk to people and we can’t say hi to people and we can’t hug them,3,f
s122,2. Who is the president?,You,3,f
s122,3. How many days have we been in lockdown?,7 days,3,f
s122,4. Do you want to go back to school/daycare?,"Yes, And I want to stay there forever and sleep with my teachers",3,f
s122,5. Who is the first person you are going to hug when lockdown is over?,Ummmm Rylan and Saylor,3,f
s122,6. Where is the first place you want to go?,Rylans,3,f
s122,7. What do you think we can do to get rid of the Coronavirus?,We can hug them,3,f
s122,8. Are mommy and daddy good teachers?,No way,3,f
s122,9. How did the Coronavirus start?,Uhm when people were sick and I was sick and I woke up and I throwed up. It’ll be gone if we stay home forever,3,f
s122,10. If you had to wear protective clothing to help you what would it be?,Hmmmm A fire truck suit to help people who’s dead and hurt,3,f
s122,11. Are you enjoying the lockdown?,Yeah,3,f
s122,12. What is the best thing about having to stay home?,You,3,f
s123,1. What is the Coronavirus?,"I can’t kiss or hug Auntie, Stanley, Gracie, My Nanny, Grandad or anyone",3,f
s123,2. Who is the prime minister?,Daddy,3,f
s123,3. How many days have we been in lockdown?,Lots,3,f
s123,4. What is mummy wearing today ?,Dress & a t-shirt,3,f
s123,5. Do you want to go back to school?,Yes,3,f
s123,6. Who is the first person you are going to see when lockdown finishes?,Everyone & Karis,3,f
s123,7. Where is the first place you want to go?,Everywhere,3,f
s123,8. What do you think we can do to get rid of the Coronavirus?,Shoo it away with my lip-balm,3,f
s123,9. Is mummy a good teacher?,Yes,3,f
s123,10. If coronavirus was an animal what animal would it be?,Dog,3,f
s123,11. How did the Coronavirus start?,Last Wednesday,3,f
s123,12.If you had to wear protective clothing to help you what would it be?,Gloves & something,3,f
s124,1. What is the Coronavirus?,What is it? What is it mom?,3,m
s124,2. Who is the president?,What’s a pesident...,3,m
s124,3. How many days have we been in lockdown?,*Whispers* Get out.,3,m
s124,4. Do you want to go back to school?,(I asked to the store),3,m
s124,5. Who is the first person you are going to hug when lockdown is over?,What we gonna hug? Sissy?,3,m
s124,6. Where is the first place you want to go?,I wanna go at the store. Anudda (another) store too.,3,m
s124,7. What do you think we can do to get rid of the Coronavirus?,What?,3,m
s124,8. Am I a good teacher?,Uh yeah.,3,m
s124,9. How did the Coronavirus start?,Sissy get your toes away!,3,m
s124,10. If you had to wear protective clothing to help you what would it be?,What is it?,3,m
s124,11. Are you enjoying the lockdown?,"No, but I do love going home. I want to even see my friends.",3,m
s124,12. What is the best thing about having to stay home?,"I don’t know, bees?",3,m
,,,,
,,,,
s126,1. What is the Coronavirus?,Sicky germs,3,f
s126,2. Who is the president?,Donald Duck (so close lol),3,f
s126,3. How many days have we been in lockdown?,6,3,f
s126,4. Do you want to go back to school?,Yes,3,f
s126,5. Who is the first person you are going to hug when lockdown is over?,Aunt Ronda,3,f
s126,6. Where is the first place you want to go?,School,3,f
s126,7. What do you think we can do to get rid of the Coronavirus?,Sing a song,3,f
s126,8. Are mommy and daddy good teachers?,No,3,f
s126,9. How did the Coronavirus start?,Bad guys,3,f
s126,10. If you had to wear protective clothing to help you what would it be?,A dress,3,f
s126,11. Are you enjoying the lockdown?,Yes,3,f
s126,12. What is the best thing about having to stay home?,It’s sad,3,f
s127,1. What is the Coronavirus?,It spreads germs,3.5,m
s127,2. Who is the President?,Donald Trump,3.5,m
s127,3. How many days have we been in lockdown?,About 14 days,3.5,m
s127,4. Do you want to go to school?,Yeah,3.5,m
s127,5. Who is the first person you are going to hug when lockdown is over?,Brendan Allison Kirby!,3.5,m
s127,6. Where is the first place you want to go?,The saucer park,3.5,m
s127,7. What do you think we can do to get rid of the Coronavirus?,Wash our hands,3.5,m
s127,8. Is Mom a good teacher?,Yeah,3.5,m
s127,9. How did the coronavirus start?,"In China, in Wuhan",3.5,m
s127,10. Are you enjoying lockdown?,"No, I just like going to the Coast Guard park",3.5,m
s128,1. What is Coronavirus?,Everyone sick.,3.5,f
s128,2. Who is the president?,the guy that talks.,3.5,f
s128,3. How many days have we been in lockdown,5 days.,3.5,f
s128,4. Do you want to go back to school? (I asked her if she wishes she could have people over since she doesn’t go to school),yes I wish.,3.5,f
s128,5. Who is the first person you are going to hug when lockdown is over?,Grandma. Sandy Lupis Penney,3.5,f
s128,6. Where is the first place you want to go?,Playground.,3.5,f
s128,7. What do you think we can do to get rid of the Coronavirus?,Medicine.,3.5,f
s128,8. Is mom a good teacher?,Yeah.,3.5,f
s128,9. How did the Coronavirus start?,Everyone sick. Started outside.,3.5,f
s128,10. If you had to wear protective clothing to help you what would it be?,A mask.,3.5,f
s128,11. Are you enjoying the lockdown?,Yeah!,3.5,f
s128,12. Are you scared of the Coronavirus?,No.,3.5,f
s128,13. Do you think you could get the Corona virus?,No. Actually in Louisiana I throw up in my bed.,3.5,f
s129,1. What is the Coronavirus?,NA,3.5,m
s129,2. Who is the President?,The King,3.5,m
s129,3. How many days have we been in lockdown?,1 day,3.5,m
s129,4. Do you want to go back school?,"No, I don’t want to. I want school with Daddy.",3.5,m
s129,5. Who is the first person you are going to hug when lockdown is over?,Daddy,3.5,m
s129,6. Where is the first place you want to go?,To McDonalds,3.5,m
s129,7. What do you think we can do to get rid of the coronavirus?,"I don’t know how, if we fight it",3.5,m
s129,8. Are mommy and daddy good teachers?,Only Daddy,3.5,m
s129,9. How did the Coronavirus start?,I don’t know,3.5,m
s129,10. If you had to wear protective clothing to help you what would it be?,A mask,3.5,m
s129,11. Are you enjoying lockdown?,Yea,3.5,m
s130,1. What is the Coronavirus?,Uhm... everywhere on this earth,3.5,f
s130,2. Who is the president?,Donald Trunk!,3.5,f
s130,3. How many days have we been in lockdown?,uhm.. 60!,3.5,f
s130,4. Do you want to go back to school?,"YES!! So much, I’m gonna flood this whole house with my tears!",3.5,f
s130,5. Who is the first person you are going to hug when the virus is over?,Everyone!,3.5,f
s130,6. Where is the first place you want to go?,School... a cafe,3.5,f
s130,7. What do you think we can do to get rid of the coronavirus?,"Uhm, use lots of water and, uhm, call everyone’s mom to tell them they should wash they hands and also they mom!",3.5,f
s130,8. Is mommy a good teacher?,Yes! And so is daddy!,3.5,f
s130,9. How did the Coronavirus start?,Because someone didn’t wash they hands.,3.5,f
s130,10. If you had to wear protective clothing to help you what would it be?,10 shirts and ... (babbling on and on),3.5,f
s130,11. Are you enjoying lockdown?,No! I hate lockdown! I never get to go anywhere!,3.5,f
s130,12. What’s the best thing you liked during the lockdown?,"Piper’s naps, puzzles, playin tag, playin hide and seek, playin freeze tag.",3.5,f
s131,1. What is the Coronavirus?,- sick germs,4,f
s131,2. Who is the president?,- The big guy.,4,f
s131,3. How many days have we been in lockdown?,- 12,4,f
s131,4. Do you want to go back to school?,-yes,4,f
s131,5. Who is the first person you are going to hug when lockdown is over?,- My boyfriend Jakob (Heather N. O'Daniel),4,f
s131,6. Where is the first place you want to go?,-Fun City,4,f
s131,7. What do you think we can do to get rid of the Coronavirus?,- stay home and rest,4,f
s131,8. Are mommy and daddy good teachers?,- yes,4,f
s131,9. How did the Coronavirus start?,-all by itself,4,f
s131,10. If you had to wear protective clothing to help you what would it be?,- Mask,4,f
s131,11. Are you enjoying the lockdown?,- Yeah,4,f
s131,12. What is the best thing about having to stay home?,-playing outside,4,f
s132,1. What is the Corona virus ?,Corona virus is new medicine because of germs,4,m
s132,2. Who is the president ?,My doctor,4,m
s132,3. How many days have we been lockdown?,20,4,m
s132,4. Do you want to go back to school/nursery?,"Ugh, yes. Because I love it when I go to school.",4,m
s132,5. Who is the first person you are going to hug when lockdown is over?,Mimi,4,m
s132,6. Where is the first place you want to go?,Great Wolf Lodge,4,m
s132,7. What do you think we can do to get rid of the Corona virus?,Wash our hands,4,m
s132,8. Is mommy a good teacher?,Uh huh....she is.,4,m
s132,9. How did the Corona Virus start?,Don't know (shrugs his shoulders),4,m
s132,"10. If you had to wear protective clothing to help you, what would it be?",A mask,4,m
s132,11. Are you enjoying being on lockdown?,Yes! Because it's so much fun!,4,m
s133,1. What is the Coronavirus?,“It’s sick. I think it’s going slow now.”,4,m
s133,2. Who is the president of the United States?,”Jesus.”,4,m
s133,3. How many days have we been in lockdown?,”Four days.”,4,m
s133,4. Do you want school to start back up?,”Yes.”,4,m
s133,5. Who is the first person you are going to hug when lockdown is over?,"”I think all the park people, I think the park people would like a hug.”",4,m
s133,6. Where is the first place you want to go?,”I..... ughhh... I don’t know but my eye keeps hurting.”,4,m
s133,7. What do you think we can do to get rid of the Coronavirus?,"“I don’t know, but we are superheroes.”",4,m
s133,8. Is mommy a good teacher?,”Umm hmm.”,4,m
s133,9. How did the Coronavirus start?,"”Well first I had a virus, but I don’t know what it would be like today. But I know I once had a virus.”",4,m
s133,10. If you had to wear protective clothing to help you what would it be?,”I think it would be a veterinarian thing that gets bees.”,4,m
s133,11. Are you enjoying lockdown?,“No.”,4,m
s133,12: What are you enjoying most about being at home?,“The toys.”,4,m
s134,1. What is the Coronavirus?,About getting sick,4,f
s134,2. Who is the president?,Mia,4,f
s134,3. How many days have we been in lockdown?,20,4,f
s134,4. Do you want to go back to school?,Yeah,4,f
s134,5. Who is the first person you are going to hug when lockdown is over?,Harper,4,f
s134,6. Where is the first place you want to go?,The beach/summer,4,f
s134,7. What do you think we can do to get rid of the Coronavirus?,Drink water,4,f
s134,8. Is mom a good teacher?,Yeah,4,f
s134,9. How did the Coronavirus start?,From the bat soup,4,f
s134,"10. If you had to wear protective clothing to help you, what would it be?",Owlette,4,f
s134,11. Are you enjoying the lockdown?,No,4,f
s134,12. What is your favorite thing we do at home?,Play Barbie and have a party,4,f
s135,1. What is the Coronavirus, Making everyone sick,4,f
s135,2. Who is the president, No,4,f
s135,3. How many days have we been in lockdown,   Long time ago,4,f
s135,4. Do you want to go back school, No,4,f
s135,5. Who is the first person you are going to hug when lockdown is over, Caroline,4,f
s135,6. Where is the first place you want to go, Play place,4,f
s135,7. What do you think we can do to get rid of the coronavirus,  I don’t know... wear a bib,4,f
s135,8. Is mommy a good teacher, Yes,4,f
s135,9. How did the Coronavirus start, Because people have allergies,4,f
s135,10. If you had to wear protective clothing to help you what would it be,  Mask,4,f
s135,11. Are you enjoying lockdown, Yes,4,f
s135,12. Whats your favorite part of lockdown,painting,4,f
s136,1. What is the Coronavirus, People getting sick,4,f
s136,2. Who is the president, What,4,f
s136,3. How many days have we been in lockdown,5,4,f
s136,4. Do you want to go back school, Yes,4,f
s136,5. Who is the first person you are going to hug when lockdown is over, Marie,4,f
s136,7. What do you think we can do to get rid of the coronavirus,  Wash it away,4,f
s136,9. How did the Coronavirus start, People are getting sick because of the virus,4,f
s136,10. If you had to wear protective clothing to help you what would it be,  mask.,4,f
s136,12. Whats your favorite part of lockdown, Painting nails,4,f
s137,1. What is coronavirus?,It makes you sick.,4,f
s137,2. Who is the president?,I actually don’t know.,4,f
s137,3. How many days have we been in lockdown?,In 10 minutes,4,f
s137,4. Do you want to go back to school?,I don’t go to school.,4,f
s137,5. Who is the first person you are going to hug when lockdown is over?,You (mamaw),4,f
s137,6. Where is the first place you want to go?,"To the swimming pool, and the store, and the playground and then that’s all.",4,f
s137,7. What do you think we can do to get rid of the Coronavirus?,Clean the floor and clean everything,4,f
s137,8. Is mommy a good teacher? Yes,NA,4,f
s137,9. How did the Coronavirus start?,I don’t know,4,f
s137,10. If you had to wear protective clothing to help you what would it be?,A mask,4,f
s137,11. Are you enjoying lockdown?,"No, I want to go places.",4,f
s138,1. What is the Coronavirus?,JJ- The Germs,4,m
s138,2. Who is the president?,"JJ- you, mommy",4,m
s138,3. How many days have we been in quarantine?,JJ- 60 Hours,4,m
s138,4. Do you want to go back to school/daycare?,JJ- No,4,m
s138,5. Who is the first person you are going to hug when social distancing is over?,JJ- mommy,4,m
s138,6. Where is the first place you want to go?,JJ- Jurassic Park,4,m
s138,7. What do you think we can do to get rid of the Coronavirus?,JJ- spray everyone with germ spray,4,m
s138,8. Is mommy a good teacher?,JJ- yes,4,m
s138,9. How did the Coronavirus start?,JJ-it came from California,4,m
s138,10. Are you enjoying the lockdown?,JJ- I like being home all day,4,m
s139,1. What is the Coronavirus?,The virus’s,4,m
s139,2. Who is the president?,I don’t know,4,m
s139,3. How many days have we been in lockdown?,6 or 20 days,4,m
s139,4. Do you want to go back to school/daycare?,No!,4,m
s139,5. Who is the first person you are going to hug when the virus is over?,Max,4,m
s139,6. Where is the first place you want to go?,Reese’s house,4,m
s139,7. What do you think we can do to get rid of the Coronavirus?,Stay home,4,m
